,song_id,song_name,billboard,artists,popularity,explicit,song_type
776,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,"('Stressed Out', 'twenty one pilots')",{'3YQKmKGau1PzlVlkL1iodx': 'Twenty One Pilots'},81,False,Solo
777,27PmvZoffODNFW2p7ehZTQ,Don't Mind,"(""Don't Mind"", 'Kent Jones')",{'3jHBxvZ9gbBkZ17wKUqVsO': 'Kent Jones'},66,True,Solo
778,1CwNogTShsnsn1C8UhRmYX,Rise,"('Rise', 'Katy Perry')",{'6jJ0s89eD6GaHleKKya26X': 'Katy Perry'},64,False,Solo
779,3JffB4CABj9lA0NC63kbCp,She's Got a Way with Words,"(""She's Got A Way With Words"", 'Blake Shelton')",{'1UTPBmNbXNTittyMJrNkvw': 'Blake Shelton'},56,False,Solo
780,3NxAG2ni1lLa8RKL6a0INc,Childs Play,"('Childs Play', 'Drake')",{'3TVXtAsR1Inumwj472S9r4': 'Drake'},64,True,Solo
781,0O1x2tRm8ZpfDbcpOWZp7z,American Country Love Song,"('American Country Love Song', 'Jake Owen')",{'1n2pb9Tsfe4SwAjmUac6YT': 'Jake Owen'},63,False,Solo
782,0lnIJmgcUpEpe4AZACjayW,Sorry,"('Sorry', 'Beyonce')",{'6vWDO969PvNqNYHIOW5v0m': 'Beyoncé'},72,True,Solo
783,0lQJBl9YEsoMtE8D4yTE9g,From the Ground Up,"('From The Ground Up', 'Dan + Shay')",{'7z5WFjZAIYejWy0NI5lv4T': 'Dan + Shay'},66,False,Solo
784,7KxhSJOYiqCDclXDBNlFSZ,Kill Em With Kindness,"('Kill Em With Kindness', 'Selena Gomez')",{'0C8ZW7ezQVs4URX5aX7Kqx': 'Selena Gomez'},67,False,Solo
785,19a3JfW8BQwqHWUMbcqSx8,Famous,"('Famous', 'Kanye West')",{'5K4W6rqBFWDnAN6FQUkS6x': 'Kanye West'},70,True,Solo
786,76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,"('Cake By The Ocean', 'DNCE')",{'6T5tfhQCknKG4UnH90qGnz': 'DNCE'},78,True,Solo
787,6BbINUfGabVyiNFJpQXn3x,Wicked,"('Wicked', 'Future')",{'1RyvyyTE3xzB2ZywiAwp0i': 'Future'},60,True,Solo
788,55OdqrG8WLmsYyY1jijD9b,Wyclef Jean,"('Wyclef Jean', 'Young Thug')",{'50co4Is1HCEo8bhOyUWKpn': 'Young Thug'},65,True,Solo
789,5fSPbm5lcwtqwXkeQQswW8,Record Year,"('Record Year', 'Eric Church')",{'2IvkS5MXK0vPGnwyJsrEyV': 'Eric Church'},66,False,Solo
790,67citk3uzWs5qbaIVKTeg8,Church Bells,"('Church Bells', 'Carrie Underwood')",{'4xFUf1FHVy696Q1JQZMTRj': 'Carrie Underwood'},64,False,Solo
791,50kpGaPAhYJ3sGmk6vplg0,Love Yourself,"('Love Yourself', 'Justin Bieber')",{'1uNFoZAHBGtllmzznpCI3s': 'Justin Bieber'},80,False,Solo
792,19YKaevk2bce4odJkP5L22,Nikes,"('Nikes', 'Frank Ocean')",{'2h93pZq0e7k5yf4dywlkpM': 'Frank Ocean'},69,True,Solo
793,2ZWlPOoWh0626oTaHrnl2a,Ivy,"('Ivy', 'Frank Ocean')",{'2h93pZq0e7k5yf4dywlkpM': 'Frank Ocean'},74,True,Solo
794,3xKsf9qdS1CyvXSMEid6g8,Pink + White,"('Pink + White', 'Frank Ocean')",{'2h93pZq0e7k5yf4dywlkpM': 'Frank Ocean'},74,False,Solo
795,35xSkNIXi504fcEwz9USRB,Solo,"('Solo', 'Frank Ocean')",{'2h93pZq0e7k5yf4dywlkpM': 'Frank Ocean'},66,True,Solo
796,7eqoqGkKwgOaWNNHx90uEZ,Nights,"('Nights', 'Frank Ocean')",{'2h93pZq0e7k5yf4dywlkpM': 'Frank Ocean'},75,True,Solo
797,7zBPzAjKAqQpcv8F8GCq5s,Uber Everywhere,"('Uber Everywhere', 'MadeinTYO')",{'5SyGEPymt1G2uto47tVWvZ': 'MadeinTYO'},64,True,Solo
798,6iaJUPHLONFJ02RTeaMuy8,Hit or Miss,"('Hit Or Miss', 'Jacob Sartorius')",{'6czdbISBoxGckbBX8F4m8L': 'Jacob Sartorius'},48,False,Solo
799,6gXuwld0PRtinePSXV2Vn1,Fix,"('Fix', 'Chris Lane')",{'68abRTdO4meYReMWHvBYb0': 'Chris Lane'},58,False,Solo
800,7ciLq0Cip0yxiz6KANrOUq,Toothbrush,"('Toothbrush', 'DNCE')",{'6T5tfhQCknKG4UnH90qGnz': 'DNCE'},70,False,Solo
801,5aPGxR67OwJmu1eEsErW5e,Lights Come On,"('Lights Come On', 'Jason Aldean')",{'3FfvYsEGaIb52QPXhg4DcH': 'Jason Aldean'},40,False,Solo
802,5PNcJn4oFNvlRfrZBHfqWh,Castaway,"('Castaway', 'Zac Brown Band')",{'6yJCxee7QumYr820xdIsjo': 'Zac Brown Band'},62,False,Solo
803,0gb1J5UrTpzaU1s3nupgCd,No Money,"('No Money', 'Galantis')",{'4sTQVOfp9vEMCemLw50sbu': 'Galantis'},71,False,Solo
804,7c46IFYepx7IcebqEp0GHM,Wasted Time,"('Wasted Time', 'Keith Urban')",{'0u2FHSq3ln94y5Q57xazwf': 'Keith Urban'},40,False,Solo
805,3nnG7AM9QopHVPEuLX3Khk,Let It Go,"('Let It Go', 'James Bay')",{'4EzkuveR9pLvDVFNx6foYD': 'James Bay'},72,False,Solo
806,09CtPGIpYB4BrO8qb1RGsF,Sorry,"('Sorry', 'Justin Bieber')",{'1uNFoZAHBGtllmzznpCI3s': 'Justin Bieber'},78,False,Solo
807,4ly1QBXEwYoDmje9rmEgC4,Head Over Boots,"('Head Over Boots', 'Jon Pardi')",{'4MoAOfV4ROWofLG3a3hhBN': 'Jon Pardi'},72,False,Solo
808,2YSbHu9XF4bNYWt3MnIhgE,Bohemian Rhapsody,"('Bohemian Rhapsody', 'Panic! At The Disco')",{'20JZFwl6HVl6yg8a4H3ZqK': 'Panic! At The Disco'},62,False,Solo
809,6BOtDFg6GJm0rPUDuNmx57,Wake Up,"('Wake Up', 'Fetty Wap')",{'6PXS4YHDkKvl1wkIl4V8DL': 'Fetty Wap'},56,True,Solo
810,0dbzWSYpMcRtwjI1S7Pkql,"Huntin', Fishin' And Lovin' Every Day","(""Huntin', Fishin' & Lovin' Every Day"", 'Luke Bryan')",{'0BvkDsjIUla7X0k6CSWh1I': 'Luke Bryan'},66,False,Solo
811,6Knv6wdA0luoMUuuoYi2i1,My House,"('My House', 'Flo Rida')",{'0jnsk9HBra6NMjO2oANoPY': 'Flo Rida'},74,False,Solo
812,7l94dyN2hX9c6wWcZQuOGJ,Dangerous Woman,"('Dangerous Woman', 'Ariana Grande')",{'66CXWjxzNUsdJxJ2JdwvnR': 'Ariana Grande'},76,False,Solo
813,1rIKgCH4H52lrvDcz50hS8,Lush Life,"('Lush Life', 'Zara Larsson')",{'1Xylc3o4UrD53lo9CvFvVg': 'Zara Larsson'},76,False,Solo
814,3IpG4SvqxHmbZslvDSIIZP,Brand New,"('Brand New', 'Ben Rector')",{'4AapPt7H6bGH4i7chTulpI': 'Ben Rector'},63,False,Solo
815,46jLy47W8rkf8rEX04gMKB,Wherever I Go,"('Wherever I Go', 'OneRepublic')",{'5Pwc4xIPtQLFEnJriah9YJ': 'OneRepublic'},63,False,Solo
816,4h0zU3O9R5xzuTmNO7dNDU,Lost Boy,"('Lost Boy', 'Ruth B')",{'2WzaAvm2bBCf4pEhyuDgCY': 'Ruth B.'},75,False,Solo
817,3Z7mlFcLRRA4CYJOF8XVhn,Girls Talk Boys,"('Girls Talk Boys', '5 Seconds Of Summer')",{'37tDZAbgcfTyqn6JZdTjaz': 'Music Box Mania'},0,False,Solo
818,7xrA11O07xo57Bbg6p4hck,Body Say,"('Body Say', 'Demi Lovato')",{'6S2OmqARrzebs0tKUEyXyp': 'Demi Lovato'},62,False,Solo
819,0l0CvurVUrr2w3Jj1hOVFc,NO,"('No', 'Meghan Trainor')",{'6JL8zeS1NmiOftqZTRgdTz': 'Meghan Trainor'},67,False,Solo
820,3osQ5lSSqZb8HWRozdbVPw,M.I.L.F. $,"('M.I.L.F. $', 'Fergie')",{'3r17AfJCCUqC9Lf0OAc73G': 'Fergie'},61,True,Solo
821,5y2pNuAvWcPKiORZ12e44S,Night's On Fire,"(""Night's On Fire"", 'David Nail')",{'4DZGvSv2oMkBUnPz67E6z6': 'David Nail'},60,False,Solo
822,5NORWMFC27ywGSZxi8uquP,Ophelia,"('Ophelia', 'The Lumineers')",{'16oZKvXb6WkQlVAjwo2Wbg': 'The Lumineers'},68,False,Solo
823,0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,"('Pillowtalk', 'Zayn')",{'5ZsFI1h6hIdQRw2ti0hz81': 'ZAYN'},75,True,Solo
824,6jaywaMM3ieLkZxPSFyS9C,T-Shirt,"('T-Shirt', 'Thomas Rhett')",{'6x2LnllRG5uGarZMsD4iO8': 'Thomas Rhett'},47,False,Solo
825,0XN2BcoaKE4Z2hnq1ZeDY1,Noise,"('Noise', 'Kenny Chesney')",{'3grHWM9bx2E9vwJCdlRv9O': 'Kenny Chesney'},53,False,Solo
826,1N7qGCKRRnvjoy8MGyHgpS,Came Here to Forget,"('Came Here To Forget', 'Blake Shelton')",{'1UTPBmNbXNTittyMJrNkvw': 'Blake Shelton'},59,False,Solo
827,44TuSOP6xIAEeJmZsN3nXO,Bored To Death,"('Bored To Death', 'Blink-182')",{'6FBDaR13swtiWwGhX1WQsP': 'blink-182'},61,False,Solo
828,0PJIbOdMs3bd5AT8liULMQ,oui,"('Oui', 'Jeremih')",{'3KV3p5EY4AvKxOlhGHORLg': 'Jeremih'},72,False,Solo
829,0PAj9Y5kFEzhGeWkockoxv,Wild Things,"('Wild Things', 'Alessia Cara')",{'2wUjUUtkb5lvLKcGKsKqsR': 'Alessia Cara'},63,False,Solo
830,1Cj2vqUwlJVG27gJrun92y,The Sound of Silence,"('The Sound Of Silence', 'Disturbed')",{'3TOqt5oJwL9BE2NG9MEwDa': 'Disturbed'},72,False,Solo
831,433P7tDcIAi6NLnf4Sh6tI,Still Here,"('Still Here', 'Drake')",{'3TVXtAsR1Inumwj472S9r4': 'Drake'},61,True,Solo
832,5NFYuqu8V6QXc6mzcLImd6,Hype,"('Hype', 'Drake')",{'3TVXtAsR1Inumwj472S9r4': 'Drake'},60,True,Solo
833,2c8sgbZoEanC3QyFNZxUcA,Flexicution,"('Flexicution', 'Logic')",{'4xRYI6VqpkE3UwrDrAZL8L': 'Logic'},65,True,Solo
834,10I3CmmwT0BkOVhduDy53o,Really Really,"('Really Really', 'Kevin Gates')",{'1gPhS1zisyXr5dHTYZyiMe': 'Kevin Gates'},68,True,Solo
835,1N3dZ7TTWO6VcD4Y3hHYLZ,Try Everything,"('Try Everything', 'Shakira')",{'0EmeFodog0BfCgMzAIvKQp': 'Shakira'},66,False,Solo
836,2nBI3iWLhupR7LyAJ5GGkE,Champions,"('Champions', 'Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner')","{'7pFeBzX627ff0VnN6bxPR4': 'Desiigner', '6Ha4aES39QiVjR0L2lwuwq': 'Yo Gotti', '13y7CgLHjMVRMDqxdx0Xdo': 'Gucci Mane', '17lzZA2AlOHwCwFALHttmp': '2 Chainz', '0VRj0yCOv2FXJNP47XQnx5': 'Quavo', '5K4W6rqBFWDnAN6FQUkS6x': 'Kanye West', '0c173mlxpT3dSFRgMO8XPh': 'Big Sean', '0Y5tJX1MQlPlqiwlOH1tJY': 'Travis Scott'}",66,True,Collaboration
837,2oaK4JLVnmRGIO9ytBE1bt,Dark Necessities,"('Dark Necessities', 'Red Hot Chili Peppers')",{'0L8ExT028jH3ddEcZwqJJ5': 'Red Hot Chili Peppers'},71,False,Solo
838,0wdKiSBUT7aZkXUIdJWcwC,2 Phones,"('2 Phones', 'Kevin Gates')",{'1gPhS1zisyXr5dHTYZyiMe': 'Kevin Gates'},68,True,Solo
839,4Pn0JlCUusD2QHjADuOzuV,Humble And Kind,"('Humble And Kind', 'Tim McGraw')",{'6roFdX1y5BYSbp60OTJWMd': 'Tim McGraw'},66,False,Solo
840,7IYU41rxDOremaBZi0vEMn,What the World Needs Now Is Love,"('What The World Needs Now Is Love', 'Broadway For Orlando')",{'6For8X8tvxvDol46ZOQrtr': 'Broadway for Orlando'},13,False,Solo
841,2I5ao7JannZZMlweLTz0hO,Ain't No Stopping Us Now,"(""Ain't No Stopping Us Now"", 'Kane Brown')",{'3oSJ7TBVCWMDMiYjXNiCKE': 'Kane Brown'},52,False,Solo
842,0UHB9METy4VCXNgkcGqHqS,Kiss It Better,"('Kiss It Better', 'Rihanna')",{'5pKCCKE2ajJHZ9KAiaK11H': 'Rihanna'},64,True,Solo
843,43PuMrRfbyyuz4QpZ3oAwN,Exchange,"('Exchange', 'Bryson Tiller')",{'2EMAnMvWE2eb56ToJVfCWs': 'Bryson Tiller'},76,True,Solo
844,5CG9Ps5ynNjpKJHmwc95pa,Somewhere On A Beach,"('Somewhere On A Beach', 'Dierks Bentley')",{'7x8nK0m0cP2ksQf0mjWdPS': 'Dierks Bentley'},66,False,Solo
845,0B3LaidsxjnBTUlKgKQQe5,Sweatshirt,"('Sweatshirt', 'Jacob Sartorius')",{'6czdbISBoxGckbBX8F4m8L': 'Jacob Sartorius'},50,False,Solo
846,7gHs73wELdeycvS48JfIos,Faded,"('Faded', 'Alan Walker')",{'7vk5e3vY1uw9plTHJAMwjN': 'Alan Walker'},75,False,Solo
847,1LM5zQv5pBKPyO7rm7Uz6U,My Church,"('My Church', 'Maren Morris')",{'6WY7D3jk8zTrHtmkqqo5GI': 'Maren Morris'},66,False,Solo
848,7I5fYc4qKJddht8Ozhqqdx,Snapback,"('Snapback', 'Old Dominion')",{'6y8XlgIV8BLlIg1tT1R10i': 'Old Dominion'},64,False,Solo
849,2MNapHbu7QASoukvVVIxyr,Mind Reader,"('Mind Reader', 'Dustin Lynch')",{'1dID9zgn0OV0Y8ud7Mh2tS': 'Dustin Lynch'},60,False,Solo
850,6g0Orsxv6glTJCt4cHsRsQ,Formation,"('Formation', 'Beyonce')",{'6vWDO969PvNqNYHIOW5v0m': 'Beyoncé'},74,True,Solo
851,3cjF2OFRmip8spwZYQRKxP,Feel No Ways,"('Feel No Ways', 'Drake')",{'3TVXtAsR1Inumwj472S9r4': 'Drake'},64,True,Solo
852,2NELtMgQ8HSdrGrYQPLnC3,Piece by Piece,"('Piece By Piece', 'Kelly Clarkson')",{'3BmGtnKgCSGYIUhmivXKWX': 'Kelly Clarkson'},57,False,Solo
853,5htB2gxndGHrLb09x1Q3Vp,Moolah,"('Moolah', 'Young Greatness')",{'6eUSUma6IbsuvfAs9c0Kti': 'Young Greatness'},52,True,Solo
